episode,evaluation_seed,total_reward,steps,terminated,truncated,solved
1,1000,-80.65985354854634,1000,False,True,False
2,1001,-98.82731503558006,1000,False,True,False
3,1002,-97.4089025288587,1000,False,True,False
4,1003,-94.26131670829665,1000,False,True,False
5,1004,-71.14844273604757,1000,False,True,False
6,1005,-117.95444893148297,1000,False,True,False
7,1006,-72.58299163567168,1000,False,True,False
8,1007,-98.59885912929033,1000,False,True,False
9,1008,-106.35841389812643,1000,False,True,False
10,1009,-109.70896697806764,1000,False,True,False
11,1010,-62.977172271405294,1000,False,True,False
12,1011,-133.57255740160957,1000,False,True,False
13,1012,-114.20268605633082,1000,False,True,False
14,1013,-65.25575296850229,1000,False,True,False
15,1014,-118.25642903122683,1000,False,True,False
16,1015,-74.59502143313618,1000,False,True,False
17,1016,-116.91902981889801,1000,False,True,False
18,1017,-91.78412105843435,1000,False,True,False
19,1018,-79.36198814442893,1000,False,True,False
20,1019,-83.75993430586338,1000,False,True,False
21,1020,-61.797462341821884,1000,False,True,False
22,1021,-93.9245504024078,1000,False,True,False
23,1022,-92.14482491600732,1000,False,True,False
24,1023,-102.15614329065038,1000,False,True,False
25,1024,-70.35666820965827,1000,False,True,False
