episode,training_seed,environment_seed,total_reward,steps,epsilon,average_loss,replay_memory_size,total_environment_steps,terminated,truncated,solved,elapsed_seconds
1,0,0,-189.96273012656917,66,1.0,,66,66,True,False,False,0.009038900025188923
2,0,1,-230.3999804469702,113,0.98,,179,179,True,False,False,0.029839100083336234
3,0,2,-252.6906232406614,91,0.9603999999999999,,270,270,True,False,False,0.05270520015619695
4,0,3,-114.41204038157429,90,0.9411919999999999,,360,360,True,False,False,0.06425429997034371
5,0,4,-343.490004546666,122,0.9223681599999999,,482,482,True,False,False,0.08308270014822483
6,0,5,-88.5704142202097,121,0.9039207967999999,,603,603,True,False,False,0.11888259998522699
7,0,6,-352.2607984962075,90,0.8858423808639999,,693,693,True,False,False,0.13040030002593994
8,0,7,-114.95296473371712,88,0.8681255332467199,,781,781,True,False,False,0.14388910005800426
9,0,8,-143.74972201455893,68,0.8507630225817855,,849,849,True,False,False,0.16605870006605983
10,0,9,-107.15752091686812,106,0.8337477621301498,,955,955,True,False,False,0.2006173999980092
11,0,10,-92.87325396351659,110,0.8170728068875467,2.407192695321459,1065,1065,True,False,False,0.3903963000047952
12,0,11,-67.70926972929328,107,0.8007313507497958,2.0899960186993964,1172,1172,True,False,False,0.761475499952212
13,0,12,-202.84878718631123,82,0.7847167237347998,1.8842250072374576,1254,1254,True,False,False,1.0664741001091897
14,0,13,-80.01648721947195,90,0.7690223892601038,1.86721979909473,1344,1344,True,False,False,1.3325519999489188
15,0,14,-9.992447337396996,167,0.7536419414749017,1.6222282862234971,1511,1511,True,False,False,1.9638418001122773
16,0,15,-111.44101378445941,185,0.7385691026454038,1.598040459446005,1696,1696,True,False,False,2.489445900078863
17,0,16,-151.62056142251794,125,0.7237977205924956,1.5912239065170288,1821,1821,True,False,False,2.811960899969563
18,0,17,-47.66151212162078,149,0.7093217661806457,1.4055628456525355,1970,1970,True,False,False,3.3543720000889152
19,0,18,-85.77087026323125,161,0.6951353308570327,1.31740900096686,2131,2131,True,False,False,3.9096876000985503
20,0,19,-123.62335822614628,149,0.6812326242398921,1.3335090389587736,2280,2280,True,False,False,4.362318299943581
21,0,20,45.87375176679336,1000,0.6676079717550942,1.5048677325248718,3280,3280,False,True,False,7.684299000073224
22,0,21,-18.288207160622278,74,0.6542558123199923,1.4887521130007666,3354,3354,True,False,False,7.963208300061524
23,0,22,-66.03111637067559,99,0.6411706960735924,1.7129131946900877,3453,3453,True,False,False,8.351288600126281
24,0,23,15.410589559572173,133,0.6283472821521207,1.4961463602861964,3586,3586,True,False,False,8.727508400101215
25,0,24,-37.866661747469166,68,0.6157803365090783,1.602088411064709,3654,3654,True,False,False,8.913185300072655
