episode,evaluation_seed,total_reward,steps,terminated,truncated,solved
1,1000,283.87860135252015,299,True,False,True
2,1001,275.60589214304025,246,True,False,True
3,1002,266.39806601999817,275,True,False,True
4,1003,262.93985499428516,325,True,False,True
5,1004,246.71981584119686,370,True,False,True
6,1005,233.6099526699107,313,True,False,True
7,1006,45.675709997217155,253,True,False,False
8,1007,273.4276370861295,256,True,False,True
9,1008,259.7786271538062,236,True,False,True
10,1009,255.3969334190557,299,True,False,True
11,1010,283.9334243321118,357,True,False,True
12,1011,236.83452730625868,266,True,False,True
13,1012,134.0001580939039,1000,False,True,False
14,1013,309.6832993853999,298,True,False,True
15,1014,255.40945268324234,221,True,False,True
16,1015,288.06328367226797,296,True,False,True
17,1016,235.18227109684113,401,True,False,True
18,1017,265.47757520552386,284,True,False,True
19,1018,279.2404526968678,280,True,False,True
20,1019,265.27748527616063,235,True,False,True
21,1020,286.4612271729021,302,True,False,True
22,1021,262.266738048318,322,True,False,True
23,1022,265.9676683635131,332,True,False,True
24,1023,-1.242014881317175,193,True,False,False
25,1024,307.3506982042446,241,True,False,True
26,1025,284.70145368276303,239,True,False,True
27,1026,296.10816685290393,223,True,False,True
28,1027,268.3337875078011,210,True,False,True
29,1028,41.284064682749346,204,True,False,False
30,1029,33.494410981749695,202,True,False,False
31,1030,256.2787680774326,239,True,False,True
32,1031,58.957771173383435,214,True,False,False
33,1032,274.85870348276603,279,True,False,True
34,1033,260.3443101806214,331,True,False,True
35,1034,149.11367048786013,1000,False,True,False
36,1035,255.40993113780414,232,True,False,True
37,1036,260.2223932048628,306,True,False,True
38,1037,309.3642759693814,317,True,False,True
39,1038,272.7502540055219,248,True,False,True
40,1039,275.91635604511123,279,True,False,True
41,1040,277.9037468569828,265,True,False,True
42,1041,33.12921467835204,228,True,False,False
43,1042,297.1087610814767,235,True,False,True
44,1043,245.75893295139105,253,True,False,True
45,1044,209.8694622132886,417,True,False,True
46,1045,295.4758335071175,334,True,False,True
47,1046,262.4081567144549,244,True,False,True
48,1047,303.2540456986558,244,True,False,True
49,1048,294.5788972886585,253,True,False,True
50,1049,276.5797198271901,258,True,False,True
51,1050,235.33514830828162,354,True,False,True
52,1051,248.5712570241441,360,True,False,True
53,1052,53.54047211693518,237,True,False,False
54,1053,219.02056177538535,379,True,False,True
55,1054,304.5217016686183,241,True,False,True
56,1055,260.79137512166153,384,True,False,True
57,1056,42.33148728134046,188,True,False,False
58,1057,59.173846551526566,209,True,False,False
59,1058,285.90281738691635,238,True,False,True
60,1059,230.41550472659551,463,True,False,True
61,1060,243.56985037625617,322,True,False,True
62,1061,272.35199774733417,206,True,False,True
63,1062,255.6737775933433,241,True,False,True
64,1063,236.0670680503306,372,True,False,True
65,1064,242.22770892879777,307,True,False,True
66,1065,240.65683909300253,483,True,False,True
67,1066,260.5421890303189,267,True,False,True
68,1067,260.5917888295445,244,True,False,True
69,1068,261.1958913710523,329,True,False,True
70,1069,261.9802525699577,299,True,False,True
71,1070,44.36044450639662,232,True,False,False
72,1071,166.65889455072826,1000,False,True,False
73,1072,276.9244812037333,320,True,False,True
74,1073,-6.40636008904166,1000,False,True,False
75,1074,23.651268201806175,198,True,False,False
76,1075,31.027144138895295,176,True,False,False
77,1076,237.0335441862532,393,True,False,True
78,1077,240.24217444933296,194,True,False,True
79,1078,271.0650271813354,275,True,False,True
80,1079,256.43940940706375,250,True,False,True
81,1080,295.24783324725934,254,True,False,True
82,1081,262.2349773455838,369,True,False,True
83,1082,255.7311574158402,224,True,False,True
84,1083,242.23161328008612,202,True,False,True
85,1084,246.65964328278977,361,True,False,True
86,1085,42.14386761412993,178,True,False,False
87,1086,42.13010249461013,182,True,False,False
88,1087,273.260439307218,323,True,False,True
89,1088,246.26207157302275,291,True,False,True
90,1089,305.44172548593383,249,True,False,True
91,1090,214.56436344619559,291,True,False,True
92,1091,241.41347942820258,250,True,False,True
93,1092,249.67645945621612,277,True,False,True
94,1093,221.21716796513275,320,True,False,True
95,1094,252.8427445981719,293,True,False,True
96,1095,256.0547793340167,275,True,False,True
97,1096,41.544930287846455,249,True,False,False
98,1097,280.19109536987366,177,True,False,True
99,1098,260.921645752219,258,True,False,True
100,1099,255.80361521759704,262,True,False,True
