episode,evaluation_seed,total_reward,steps,terminated,truncated,solved
1,1000,146.27416518804026,1000,False,True,False
2,1001,276.29616229024623,190,True,False,True
3,1002,248.5524745413307,392,True,False,True
4,1003,258.1959199983793,856,True,False,True
5,1004,271.9474808717662,273,True,False,True
6,1005,260.344043035744,169,True,False,True
7,1006,157.44344132463374,1000,False,True,False
8,1007,276.3534058842106,221,True,False,True
9,1008,236.25342585190833,370,True,False,True
10,1009,146.66789033116262,1000,False,True,False
11,1010,283.4469291318064,413,True,False,True
12,1011,234.20554169006138,275,True,False,True
13,1012,236.13325016281345,302,True,False,True
14,1013,302.19792465604746,258,True,False,True
15,1014,243.14297984974203,235,True,False,True
16,1015,289.14433295908634,281,True,False,True
17,1016,140.63241431034402,1000,False,True,False
18,1017,276.28891121542404,207,True,False,True
19,1018,258.7040114370393,317,True,False,True
20,1019,255.34547454901113,307,True,False,True
21,1020,255.5258586582925,364,True,False,True
22,1021,253.86775123002366,343,True,False,True
23,1022,271.60179452545856,275,True,False,True
24,1023,246.77839303454394,308,True,False,True
25,1024,302.6991316720713,215,True,False,True
26,1025,274.7280248363335,257,True,False,True
27,1026,186.15728575008885,1000,False,True,False
28,1027,269.9946438745924,210,True,False,True
29,1028,253.01037992945692,331,True,False,True
30,1029,252.23361504257866,300,True,False,True
31,1030,243.44051025052846,601,True,False,True
32,1031,250.59323124687472,382,True,False,True
33,1032,287.92653678994213,196,True,False,True
34,1033,281.6950246319834,300,True,False,True
35,1034,242.62383751471697,401,True,False,True
36,1035,250.1957244696017,276,True,False,True
37,1036,274.6123253609202,181,True,False,True
38,1037,299.04345422354476,281,True,False,True
39,1038,241.06410878069929,425,True,False,True
40,1039,242.70853529760168,389,True,False,True
41,1040,291.0434453151739,194,True,False,True
42,1041,247.7308121303877,578,True,False,True
43,1042,302.17905032866884,395,True,False,True
44,1043,253.38538371287345,208,True,False,True
45,1044,235.30485837727772,261,True,False,True
46,1045,266.8160455787571,766,True,False,True
47,1046,256.945247905973,247,True,False,True
48,1047,304.72690414060276,218,True,False,True
49,1048,279.90303528575214,297,True,False,True
50,1049,283.97794005017613,179,True,False,True
51,1050,239.88898360123935,307,True,False,True
52,1051,269.46932971126944,257,True,False,True
53,1052,258.16900348753165,360,True,False,True
54,1053,246.77261876877583,214,True,False,True
55,1054,310.02909080808473,195,True,False,True
56,1055,276.3363375825626,200,True,False,True
57,1056,263.204133720307,269,True,False,True
58,1057,250.17221501124294,339,True,False,True
59,1058,293.04447968344175,190,True,False,True
60,1059,272.77477742531005,289,True,False,True
61,1060,264.084788638537,211,True,False,True
62,1061,252.78586544495937,291,True,False,True
63,1062,255.55181344721035,276,True,False,True
64,1063,271.2708422152414,209,True,False,True
65,1064,140.36996806498814,1000,False,True,False
66,1065,264.79226214022293,290,True,False,True
67,1066,275.37538440727116,187,True,False,True
68,1067,269.7665801462981,193,True,False,True
69,1068,155.7206529917729,1000,False,True,False
70,1069,126.47817447875542,1000,False,True,False
71,1070,256.2435949246742,386,True,False,True
72,1071,278.86605910936396,275,True,False,True
73,1072,148.77092750373836,1000,False,True,False
74,1073,300.91136051933677,155,True,False,True
75,1074,236.6913879282027,462,True,False,True
76,1075,236.7544858810419,301,True,False,True
77,1076,272.7283961785847,198,True,False,True
78,1077,221.5435824450364,285,True,False,True
79,1078,287.25864982369194,173,True,False,True
80,1079,269.51392465855423,165,True,False,True
81,1080,312.547467693483,196,True,False,True
82,1081,282.95171925564046,271,True,False,True
83,1082,243.90067042552906,305,True,False,True
84,1083,217.9146334570308,325,True,False,True
85,1084,269.10622777374977,234,True,False,True
86,1085,238.86674488015177,366,True,False,True
87,1086,229.6247879674893,316,True,False,True
88,1087,253.83771078069736,374,True,False,True
89,1088,258.8605333421908,230,True,False,True
90,1089,287.68401464857277,294,True,False,True
91,1090,199.2720895594202,365,True,False,False
92,1091,238.00817580349792,250,True,False,True
93,1092,258.8286116262158,209,True,False,True
94,1093,239.34899278722853,212,True,False,True
95,1094,213.76730062752608,491,True,False,True
96,1095,262.3864909969464,236,True,False,True
97,1096,229.71029197019865,547,True,False,True
98,1097,286.3418559681386,158,True,False,True
99,1098,277.9653408783091,206,True,False,True
100,1099,265.96510237922496,186,True,False,True
