episode,training_seed,environment_seed,total_reward,steps,epsilon,average_loss,replay_memory_size,total_environment_steps,terminated,truncated,solved,elapsed_seconds
1,2,20000,-109.34370922381927,104,1.0,,104,104,True,False,False,0.016947099938988686
2,2,20001,-273.81823850181445,101,0.98,,205,205,True,False,False,0.035792100010439754
3,2,20002,-122.05297076830567,86,0.9603999999999999,,291,291,True,False,False,0.05046149995177984
4,2,20003,-89.2426701009365,79,0.9411919999999999,,370,370,True,False,False,0.06439720001071692
5,2,20004,-133.52868230860267,68,0.9223681599999999,,438,438,True,False,False,0.0768516999669373
6,2,20005,-153.74979273238165,80,0.9039207967999999,,518,518,True,False,False,0.09231889992952347
7,2,20006,-393.30283154615233,98,0.8858423808639999,,616,616,True,False,False,0.11234869994223118
8,2,20007,-428.2026104905594,91,0.8681255332467199,,707,707,True,False,False,0.12667959998361766
9,2,20008,-153.09424779654944,95,0.8507630225817855,,802,802,True,False,False,0.1408963999710977
10,2,20009,-120.54876929629302,59,0.8337477621301498,,861,861,True,False,False,0.15015870006754994
11,2,20010,-111.71136964543395,71,0.8170728068875467,,932,932,True,False,False,0.16221580002456903
12,2,20011,-103.22062636812767,65,0.8007313507497958,,997,997,True,False,False,0.17458490002900362
13,2,20012,-432.4679381424444,76,0.7847167237347998,2.2576681158027134,1073,1073,True,False,False,0.3153625000268221
14,2,20013,-159.97325765925922,98,0.7690223892601038,2.202861245189394,1171,1171,True,False,False,0.5169031000696123
15,2,20014,-47.49181965635434,67,0.7536419414749017,2.0225205683886114,1238,1238,True,False,False,0.6448806000407785
16,2,20015,-211.53364072642694,94,0.7385691026454038,1.8416406046202842,1332,1332,True,False,False,0.8324790999758989
17,2,20016,-85.51316272550812,96,0.7237977205924956,1.7019946326812108,1428,1428,True,False,False,1.0427802000194788
18,2,20017,-87.9840920871969,81,0.7093217661806457,2.0031726709854456,1509,1509,True,False,False,1.2254963999148458
19,2,20018,-133.62579794054943,123,0.6951353308570327,1.6402003847486604,1632,1632,True,False,False,1.4991295000072569
20,2,20019,-29.76860143062335,158,0.6812326242398921,1.5194951722139045,1790,1790,True,False,False,1.8603409000206739
21,2,20020,-19.734958031430637,139,0.6676079717550942,1.5312081487487545,1929,1929,True,False,False,2.151795400073752
22,2,20021,-119.3875291003497,101,0.6542558123199923,1.5640518966287669,2030,2030,True,False,False,2.3857797000091523
23,2,20022,-315.263934242565,119,0.6411706960735924,1.5009500679849577,2149,2149,True,False,False,2.679691300028935
24,2,20023,-36.66796846375958,123,0.6283472821521207,1.7187498420234617,2272,2272,True,False,False,2.9962188999634236
25,2,20024,-155.6714475553983,127,0.6157803365090783,1.533959766893875,2399,2399,True,False,False,3.299145400058478
26,2,20025,-135.74765375677865,123,0.6034647297788966,1.460947897618379,2522,2522,True,False,False,3.579149700002745
27,2,20026,-115.71161496644875,79,0.5913954351833187,1.6118424044379704,2601,2601,True,False,False,3.759535599965602
28,2,20027,-38.69940958690822,151,0.5795675264796523,1.4708567652481281,2752,2752,True,False,False,4.111845500068739
29,2,20028,-68.14852716983741,110,0.5679761759500592,1.5530837763439524,2862,2862,True,False,False,4.360738100018352
30,2,20029,-56.29049276333892,174,0.5566166524310581,1.4428577976322723,3036,3036,True,False,False,4.744033599970862
31,2,20030,-26.85623997687877,240,0.5454843193824369,1.5186100009828807,3276,3276,True,False,False,5.288160800002515
32,2,20031,-80.39003397244828,209,0.5345746329947881,1.4647281885717474,3485,3485,True,False,False,5.748876499943435
33,2,20032,-23.10748829958881,306,0.5238831403348924,1.3494496385451236,3791,3791,True,False,False,6.4588194999378175
34,2,20033,-68.30615425150964,202,0.5134054775281945,1.4665972732081272,3993,3993,True,False,False,6.912412100005895
35,2,20034,-128.2383452661552,101,0.5031373679776306,1.4608963536153925,4094,4094,True,False,False,7.151883200043812
36,2,20035,-84.74931532255576,569,0.493074620618078,1.4767663610840513,4663,4663,True,False,False,8.37830669991672
37,2,20036,-38.965692276951785,131,0.48321312820571644,1.565692355614582,4794,4794,True,False,False,8.635208799969405
38,2,20037,-19.476563364969067,403,0.4735488656416021,1.489643204670686,5197,5197,True,False,False,9.50383979990147
39,2,20038,-32.088245566687235,361,0.46407788832877,1.4580711326935945,5558,5558,True,False,False,10.309034399921075
40,2,20039,38.57339079806519,1000,0.45479633056219465,1.4146832538843155,6558,6558,False,True,False,12.673907999880612
41,2,20040,-24.945708102115162,258,0.44570040395095073,1.5987347998591357,6816,6816,True,False,False,13.28970369999297
42,2,20041,72.17729124072876,1000,0.4367863958719317,1.6514705155193805,7816,7816,False,True,False,15.586976799881086
43,2,20042,-8.511134870652498,235,0.42805066795449304,1.718402325092478,8051,8051,True,False,False,16.097424200037494
44,2,20043,-75.45311884916178,154,0.4194896545954032,1.8279063984171136,8205,8205,True,False,False,16.411402799887583
45,2,20044,58.837590585240505,1000,0.41109986150349515,1.7696805903613568,9205,9205,False,True,False,18.76021460001357
46,2,20045,44.99571587981685,1000,0.4028778642734252,1.8042638682127,10205,10205,False,True,False,21.06606790004298
47,2,20046,-30.112133780383886,122,0.39482030698795667,1.8836635541720468,10327,10327,True,False,False,21.322509000077844
48,2,20047,-51.5659719671026,145,0.38692390084819756,1.8010827212498106,10472,10472,True,False,False,21.639334799954668
