episode,training_seed,environment_seed,total_reward,steps,epsilon,average_loss,replay_memory_size,total_environment_steps,terminated,truncated,solved,elapsed_seconds
1,2,20000,-109.34370922381927,104,1.0,,104,104,True,False,False,0.016775700030848384
2,2,20001,-220.8387411128449,104,0.995,,208,208,True,False,False,0.031896600034087896
3,2,20002,-149.25075428674404,88,0.990025,,296,296,True,False,False,0.04514709999784827
4,2,20003,-208.70902788725067,91,0.985074875,,387,387,True,False,False,0.06007030000910163
5,2,20004,-138.82453968521756,74,0.980149500625,,461,461,True,False,False,0.07210070011205971
6,2,20005,-124.78820486048313,92,0.975248753121875,,553,553,True,False,False,0.08713280013762414
7,2,20006,-435.23908692221517,88,0.9703725093562656,,641,641,True,False,False,0.10317889996804297
8,2,20007,-166.5368558579807,113,0.9655206468094842,,754,754,True,False,False,0.12218700000084937
9,2,20008,-270.2813330959077,86,0.9606930435754368,,840,840,True,False,False,0.1357514001429081
10,2,20009,-86.74537035820842,68,0.9558895783575596,,908,908,True,False,False,0.14723100000992417
11,2,20010,-118.30216258943658,63,0.9511101304657719,,971,971,True,False,False,0.15892870002426207
12,2,20011,-130.4742296175783,76,0.946354579813443,2.3021171341339746,1047,1047,True,False,False,0.26291720010340214
13,2,20012,-90.39462663782004,60,0.9416228069143757,2.0538620670636494,1107,1107,True,False,False,0.4043597001582384
14,2,20013,-132.1539194327853,71,0.9369146928798039,1.97881637912401,1178,1178,True,False,False,0.5753015000373125
15,2,20014,-29.5767608620297,82,0.9322301194154049,1.7316357478862856,1260,1260,True,False,False,0.7333206001203507
16,2,20015,-149.78349410604295,65,0.9275689688183278,1.788573046372487,1325,1325,True,False,False,0.8919065999798477
17,2,20016,-150.930596162626,91,0.9229311239742362,1.8605007624233163,1416,1416,True,False,False,1.1011207001283765
18,2,20017,-119.75141436263664,71,0.918316468354365,1.7516797688645376,1487,1487,True,False,False,1.274269200162962
19,2,20018,-222.0354794986509,104,0.9137248860125932,1.7070260924788623,1591,1591,True,False,False,1.5017852000892162
20,2,20019,-106.31794152564362,87,0.9091562615825302,1.644333555780608,1678,1678,True,False,False,1.6529735999647528
21,2,20020,-102.67307543763084,79,0.9046104802746175,1.7867251889237874,1757,1757,True,False,False,1.860591100063175
22,2,20021,-174.3866283674173,64,0.9000874278732445,1.720456324517727,1821,1821,True,False,False,2.0062255000229925
