episode,seed,total_reward,steps,terminated,truncated,solved
1,0,-189.96273012656917,66,True,False,False
2,1,-139.15342338959744,99,True,False,False
3,2,-210.7484221515421,106,True,False,False
4,3,-115.4716861349444,99,True,False,False
5,4,-195.88403052868512,114,True,False,False
6,5,-125.15681721393202,117,True,False,False
7,6,-190.97384865164247,99,True,False,False
8,7,-81.49169091433788,80,True,False,False
9,8,-203.5069097782735,67,True,False,False
10,9,-279.90411358315293,113,True,False,False
11,10,-280.2256965452365,96,True,False,False
12,11,-148.50953866978656,76,True,False,False
13,12,-273.21365257570415,89,True,False,False
14,13,-136.4028870061848,74,True,False,False
15,14,-343.9733708232745,104,True,False,False
16,15,-69.66565557710521,114,True,False,False
17,16,-119.28531538912446,111,True,False,False
18,17,-358.0188987951832,95,True,False,False
19,18,-428.7330884641804,96,True,False,False
20,19,-185.17322727021735,109,True,False,False
21,20,-140.0272276302923,62,True,False,False
22,21,-210.77201248055556,68,True,False,False
23,22,-136.50429215235033,73,True,False,False
24,23,-376.661402019917,82,True,False,False
25,24,-65.52997986604272,65,True,False,False
26,25,-307.0370059122199,121,True,False,False
27,26,-370.64610993170413,92,True,False,False
28,27,-227.42978836860192,107,True,False,False
29,28,-233.23158817569188,58,True,False,False
30,29,-293.9155774408264,101,True,False,False
31,30,-134.28961401837267,85,True,False,False
32,31,-69.2966954339509,74,True,False,False
33,32,-2.2079621282383215,149,True,False,False
34,33,-163.1805424664329,73,True,False,False
35,34,-328.60355872472087,74,True,False,False
36,35,-319.23044043287746,81,True,False,False
37,36,-338.79423565499474,120,True,False,False
38,37,-13.164697559238618,92,True,False,False
39,38,-290.38278663122287,112,True,False,False
40,39,-122.75794561968952,72,True,False,False
41,40,-54.17265193513617,66,True,False,False
42,41,-328.27112158152454,106,True,False,False
43,42,-351.15897654168555,123,True,False,False
44,43,-186.55318774693927,78,True,False,False
45,44,-353.88558657279174,101,True,False,False
46,45,-334.92905898949584,103,True,False,False
47,46,-204.8179032518167,66,True,False,False
48,47,-29.19644675496555,119,True,False,False
49,48,-76.01092438011605,89,True,False,False
50,49,-94.8566022039281,107,True,False,False
51,50,-48.8842014527388,73,True,False,False
52,51,-359.33641682015906,91,True,False,False
53,52,-145.90365254782046,61,True,False,False
54,53,-259.4343248433423,93,True,False,False
55,54,-140.57616898719482,68,True,False,False
56,55,-332.87071450874544,90,True,False,False
57,56,-91.3450590361036,67,True,False,False
58,57,-228.5792163536138,108,True,False,False
59,58,-370.81733235699164,86,True,False,False
60,59,-115.31161944284962,89,True,False,False
61,60,-345.0274262066168,109,True,False,False
62,61,-270.30716974830614,108,True,False,False
63,62,-244.1930881478658,82,True,False,False
64,63,-275.09662291809366,77,True,False,False
65,64,-204.45382625951842,73,True,False,False
66,65,-157.77018880347538,91,True,False,False
67,66,-162.05302495487064,105,True,False,False
68,67,-166.17407819537448,129,True,False,False
69,68,-270.20490594226635,103,True,False,False
70,69,-387.56595853582,86,True,False,False
71,70,-249.7324031072768,63,True,False,False
72,71,-150.02625618968113,107,True,False,False
73,72,-130.02222424123957,80,True,False,False
74,73,-75.98418262417181,98,True,False,False
75,74,-336.7332951906584,116,True,False,False
76,75,-105.06738291374147,71,True,False,False
77,76,-119.23262999537133,67,True,False,False
78,77,-152.14462239863505,76,True,False,False
79,78,-89.98754051171917,110,True,False,False
80,79,-94.37698005136605,59,True,False,False
81,80,-80.24183054314173,92,True,False,False
82,81,-120.19468687792276,113,True,False,False
83,82,-212.40642710489826,60,True,False,False
84,83,-223.92623576972102,83,True,False,False
85,84,-119.12851156014905,77,True,False,False
86,85,-168.4457547769515,115,True,False,False
87,86,-92.00531076861516,75,True,False,False
88,87,-171.5208400650754,73,True,False,False
89,88,-113.36680966369757,76,True,False,False
90,89,-127.24972506493427,76,True,False,False
91,90,-148.35420228674874,108,True,False,False
92,91,-173.3596782757882,84,True,False,False
93,92,-119.48180582788223,84,True,False,False
94,93,-101.71268048602003,91,True,False,False
95,94,51.3529730707028,80,True,False,False
96,95,-420.45435429553004,86,True,False,False
97,96,-8.476108200112932,111,True,False,False
98,97,-128.92339252223877,114,True,False,False
99,98,-271.5402839314989,75,True,False,False
100,99,-38.67835654102614,97,True,False,False
